Tournaments,2005/ 06,2006/ 07,2007/ 08,2008/ 09,2009/ 10,2010/ 11,2011/ 12,2012/ 13,2013/ 14,2014/ 15,2015/ 16,2016/ 17,2017/ 18,2018/ 19,2019/ 20,2019/ 20.1,2020/ 21,2021/ 22,2022/ 23,2023/ 24,Unnamed: 21,Unnamed: 22,Unnamed: 23,Unnamed: 24,Unnamed: 25,Unnamed: 26,Unnamed: 27,Unnamed: 28,Unnamed: 29,Unnamed: 30,Unnamed: 31,Unnamed: 32,Unnamed: 33,Unnamed: 34,Unnamed: 35,Unnamed: 36,Unnamed: 37,Unnamed: 38,Unnamed: 39,Unnamed: 40,Unnamed: 41,Unnamed: 42,Unnamed: 43
Rankings[213][nb 1],[nb 2],71,51,41,30,27,9,2,3,6,7,3,3,5,2,2,1,1,2,4,,,,,,,,,,,,,,,,,,,,,,,
Ranking tournaments,Ranking tournaments,Ranking tournaments,Ranking tournaments,Ranking tournaments,Ranking tournaments,Ranking tournaments,Ranking tournaments,Ranking tournaments,Ranking tournaments,Ranking tournaments,Ranking tournaments,Ranking tournaments,Ranking tournaments,Ranking tournaments,Ranking tournaments,Ranking tournaments,Ranking tournaments,Ranking tournaments,Ranking tournaments,Ranking tournaments,Ranking tournaments,Ranking tournaments,Ranking tournaments,Ranking tournaments,Ranking tournaments,Ranking tournaments,Ranking tournaments,Ranking tournaments,Ranking tournaments,,,,,,,,,,,,,,
Championship League,Not Held,Not Held,Non-Ranking Event,Non-Ranking Event,Non-Ranking Event,Non-Ranking Event,Non-Ranking Event,Non-Ranking Event,Non-Ranking Event,Non-Ranking Event,Non-Ranking Event,Non-Ranking Event,Non-Ranking Event,Non-Ranking Event,Non-Ranking Event,Non-Ranking Event,F,2R,RR,2R,Ranking tournaments,Ranking tournaments,Ranking tournaments,Ranking tournaments,Ranking tournaments,Ranking tournaments,Ranking tournaments,Ranking tournaments,Ranking tournaments,,,,,,,,,,,,,,
European Masters[nb 3],LQ,LQ,NR,Tournament Not Held,Tournament Not Held,Tournament Not Held,Tournament Not Held,Tournament Not Held,Tournament Not Held,Tournament Not Held,Tournament Not Held,W,W,2R,LQ,LQ,SF,2R,QF,F,Ranking tournaments,Ranking tournaments,Ranking tournaments,Ranking tournaments,Ranking tournaments,Ranking tournaments,Ranking tournaments,Ranking tournaments,Ranking tournaments,,,,,,,,,,,,,,
British Open,Tournament Not Held,Tournament Not Held,Tournament Not Held,Tournament Not Held,Tournament Not Held,Tournament Not Held,Tournament Not Held,Tournament Not Held,Tournament Not Held,Tournament Not Held,Tournament Not Held,Tournament Not Held,Tournament Not Held,Tournament Not Held,Tournament Not Held,Tournament Not Held,Tournament Not Held,3R,3R,1R,Ranking tournaments,Ranking tournaments,Ranking tournaments,Ranking tournaments,Ranking tournaments,Ranking tournaments,Ranking tournaments,Ranking tournaments,Ranking tournaments,,,,,,,,,,,,,,
English Open,Tournament Not Held,Tournament Not Held,Tournament Not Held,Tournament Not Held,Tournament Not Held,Tournament Not Held,Tournament Not Held,Tournament Not Held,Tournament Not Held,Tournament Not Held,Tournament Not Held,F,4R,4R,3R,3R,W,QF,QF,W,Ranking tournaments,Ranking tournaments,Ranking tournaments,Ranking tournaments,Ranking tournaments,Ranking tournaments,Ranking tournaments,Ranking tournaments,Ranking tournaments,,,,,,,,,,,,,,
Wuhan Open,Tournament Not Held,Tournament Not Held,Tournament Not Held,Tournament Not Held,Tournament Not Held,Tournament Not Held,Tournament Not Held,Tournament Not Held,Tournament Not Held,Tournament Not Held,Tournament Not Held,Tournament Not Held,Tournament Not Held,Tournament Not Held,Tournament Not Held,Tournament Not Held,Tournament Not Held,Tournament Not Held,Tournament Not Held,W,Ranking tournaments,Ranking tournaments,Ranking tournaments,Ranking tournaments,Ranking tournaments,Ranking tournaments,Ranking tournaments,Ranking tournaments,Ranking tournaments,,,,,,,,,,,,,,
Northern Ireland Open,Tournament Not Held,Tournament Not Held,Tournament Not Held,Tournament Not Held,Tournament Not Held,Tournament Not Held,Tournament Not Held,Tournament Not Held,Tournament Not Held,Tournament Not Held,Tournament Not Held,WD,1R,W,W,W,W,QF,1R,W,Ranking tournaments,Ranking tournaments,Ranking tournaments,Ranking tournaments,Ranking tournaments,Ranking tournaments,Ranking tournaments,Ranking tournaments,Ranking tournaments,,,,,,,,,,,,,,
International Championship,Tournament Not Held,Tournament Not Held,Tournament Not Held,Tournament Not Held,Tournament Not Held,Tournament Not Held,Tournament Not Held,W,1R,2R,LQ,SF,QF,QF,W,W,Not Held,Not Held,Not Held,2R,Ranking tournaments,Ranking tournaments,Ranking tournaments,Ranking tournaments,Ranking tournaments,Ranking tournaments,Ranking tournaments,Ranking tournaments,Ranking tournaments,,,,,,,,,,,,,,
UK Championship,LQ,LQ,LQ,1R,1R,2R,W,1R,4R,F,3R,2R,3R,4R,3R,3R,F,3R,2R,SF,Ranking tournaments,Ranking tournaments,Ranking tournaments,Ranking tournaments,Ranking tournaments,Ranking tournaments,Ranking tournaments,Ranking tournaments,Ranking tournaments,,,,,,,,,,,,,,
Shoot Out,Tournament Not Held,Tournament Not Held,Tournament Not Held,Tournament Not Held,Tournament Not Held,Non-Ranking Event,Non-Ranking Event,Non-Ranking Event,Non-Ranking Event,Non-Ranking Event,Non-Ranking Event,A,A,A,A,A,A,A,A,A,Ranking tournaments,Ranking tournaments,Ranking tournaments,Ranking tournaments,Ranking tournaments,Ranking tournaments,Ranking tournaments,Ranking tournaments,Ranking tournaments,,,,,,,,,,,,,,
Scottish Open,Tournament Not Held,Tournament Not Held,Tournament Not Held,Tournament Not Held,Tournament Not Held,Tournament Not Held,Tournament Not Held,MR,Not Held,Not Held,Not Held,SF,SF,SF,QF,QF,QF,3R,QF,1R,Ranking tournaments,Ranking tournaments,Ranking tournaments,Ranking tournaments,Ranking tournaments,Ranking tournaments,Ranking tournaments,Ranking tournaments,Ranking tournaments,,,,,,,,,,,,,,
World Grand Prix,Tournament Not Held,Tournament Not Held,Tournament Not Held,Tournament Not Held,Tournament Not Held,Tournament Not Held,Tournament Not Held,Tournament Not Held,Tournament Not Held,NR,2R,2R,1R,W,2R,2R,W,2R,F,F,Ranking tournaments,Ranking tournaments,Ranking tournaments,Ranking tournaments,Ranking tournaments,Ranking tournaments,Ranking tournaments,Ranking tournaments,Ranking tournaments,,,,,,,,,,,,,,
German Masters,Tournament Not Held,Tournament Not Held,Tournament Not Held,Tournament Not Held,Tournament Not Held,1R,QF,1R,F,QF,QF,LQ,SF,QF,W,W,W,QF,LQ,W,Ranking tournaments,Ranking tournaments,Ranking tournaments,Ranking tournaments,Ranking tournaments,Ranking tournaments,Ranking tournaments,Ranking tournaments,Ranking tournaments,,,,,,,,,,,,,,
Welsh Open,1R,LQ,2R,LQ,1R,LQ,QF,SF,4R,4R,4R,F,2R,2R,QF,QF,3R,F,2R,WD,Ranking tournaments,Ranking tournaments,Ranking tournaments,Ranking tournaments,Ranking tournaments,Ranking tournaments,Ranking tournaments,Ranking tournaments,Ranking tournaments,,,,,,,,,,,,,,
Players Championship[nb 4],Tournament Not Held,Tournament Not Held,Tournament Not Held,Tournament Not Held,Tournament Not Held,2R,2R,1R,SF,SF,2R,W,SF,SF,W,W,1R,1R,1R,QF,Ranking tournaments,Ranking tournaments,Ranking tournaments,Ranking tournaments,Ranking tournaments,Ranking tournaments,Ranking tournaments,Ranking tournaments,Ranking tournaments,,,,,,,,,,,,,,
World Open[nb 5],LQ,RR,LQ,SF,LQ,1R,2R,QF,3R,Not Held,Not Held,2R,LQ,2R,W,W,Not Held,Not Held,Not Held,QF,Ranking tournaments,Ranking tournaments,Ranking tournaments,Ranking tournaments,Ranking tournaments,Ranking tournaments,Ranking tournaments,Ranking tournaments,Ranking tournaments,,,,,,,,,,,,,,
Tour Championship,Tournament Not Held,Tournament Not Held,Tournament Not Held,Tournament Not Held,Tournament Not Held,Tournament Not Held,Tournament Not Held,Tournament Not Held,Tournament Not Held,Tournament Not Held,Tournament Not Held,Tournament Not Held,Tournament Not Held,SF,SF,SF,QF,QF,DNQ,QF,Ranking tournaments,Ranking tournaments,Ranking tournaments,Ranking tournaments,Ranking tournaments,Ranking tournaments,Ranking tournaments,Ranking tournaments,Ranking tournaments,,,,,,,,,,,,,,
World Championship,LQ,1R,LQ,LQ,LQ,F,2R,SF,QF,SF,2R,1R,QF,W,QF,QF,QF,F,1R,QF,Ranking tournaments,Ranking tournaments,Ranking tournaments,Ranking tournaments,Ranking tournaments,Ranking tournaments,Ranking tournaments,Ranking tournaments,Ranking tournaments,,,,,,,,,,,,,,
Non-ranking tournaments,Non-ranking tournaments,Non-ranking tournaments,Non-ranking tournaments,Non-ranking tournaments,Non-ranking tournaments,Non-ranking tournaments,Non-ranking tournaments,Non-ranking tournaments,Non-ranking tournaments,Non-ranking tournaments,Non-ranking tournaments,Non-ranking tournaments,Non-ranking tournaments,Non-ranking tournaments,Non-ranking tournaments,Non-ranking tournaments,Non-ranking tournaments,Non-ranking tournaments,Non-ranking tournaments,Non-ranking tournaments,Non-ranking tournaments,Non-ranking tournaments,Non-ranking tournaments,Non-ranking tournaments,Non-ranking tournaments,Non-ranking tournaments,Non-ranking tournaments,Non-ranking tournaments,Non-ranking tournaments,,,,,,,,,,,,,,
Shanghai Masters,Not Held,Not Held,Ranking Event,Ranking Event,Ranking Event,Ranking Event,Ranking Event,Ranking Event,Ranking Event,Ranking Event,Ranking Event,Ranking Event,Ranking Event,2R,QF,QF,Not Held,Not Held,Not Held,QF,Non-ranking tournaments,Non-ranking tournaments,Non-ranking tournaments,Non-ranking tournaments,Non-ranking tournaments,Non-ranking tournaments,Non-ranking tournaments,Non-ranking tournaments,Non-ranking tournaments,,,,,,,,,,,,,,
