#,Chng-Sort,±,R-Sort,R,S-Sort,S,O-Sort,O,Name,Nationality,Points-Sort,Sum,Chng-Sort,±
1.,0,,1,1,1,1,999,n/a,Ronnie O'Sullivan,England,1075000,1 075 000,-27500,-27 500
2.,0,,2,2,2,2,999,n/a,Judd Trump,England,985000,985 000,-19000,-19 000
3.,0,,3,3,3,3,999,n/a,Mark Allen,Northern Ireland,946500,946 500,121000,+121 000
4.,0,,4,4,4,4,999,n/a,Luca Brecel,Belgium,730000,730 000,-4000,-4 000
5.,0,,5,5,5,5,999,n/a,Mark Selby,England,644500,644 500,24000,+24 000
6.,0,,6,6,6,6,999,n/a,Shaun Murphy,England,474000,474 000,-7000,-7 000
7.,0,,7,7,7,7,999,n/a,Mark J Williams,Wales,431000,431 000,7000,+7 000
8.,0,,8,8,8,8,999,n/a,Ali Carter,England,419500,419 500,16000,+16 000
9.,0,,9,9,9,9,999,n/a,Ding Junhui,China,408500,408 500,6000,+6 000
10.,1,+1,11,11,11,11,999,n/a,John Higgins,Scotland,399000,399 000,7000,+7 000
11.,-1,-1,10,10,10,10,999,n/a,Kyren Wilson,England,385500,385 500,-11500,-11 500
12.,1,+1,13,13,13,13,999,n/a,Zhang Anda,China,384000,384 000,37000,+37 000
13.,-1,-1,12,12,12,12,999,n/a,Gary Wilson,England,383500,383 500,9000,+9 000
14.,0,,14,14,14,14,999,n/a,Robert Milkins,England,328000,328 000,0,
15.,0,,15,15,15,15,999,n/a,Neil Robertson,Australia,312500,312 500,-14000,-14 000
16.,0,,16,16,16,16,999,n/a,Tom Ford,England,310000,310 000,-1000,-1 000
17.,0,,17,17,17,17,999,n/a,Jack Lisowski,England,285500,285 500,-23000,-23 000
18.,1,+1,19,19,19,19,999,n/a,Barry Hawkins,England,271000,271 000,2000,+2 000
19.,-1,-1,18,18,18,18,999,n/a,Ryan Day,Wales,252500,252 500,-18500,-18 500
20.,1,+1,21,21,21,21,999,n/a,Zhou Yuelong,China,237500,237 500,6000,+6 000
21.,-1,-1,20,20,20,20,999,n/a,Hossein Vafaei,Iran,228500,228 500,-13000,-13 000
22.,1,+1,23,23,23,23,999,n/a,Chris Wakelin,England,228000,228 000,7000,+7 000
23.,-1,-1,22,22,22,22,999,n/a,Noppon Saengkham,Thailand,226500,226 500,3000,+3 000
24.,0,,24,24,24,24,999,n/a,Si Jiahui,China,214000,214 000,0,
25.,0,,25,25,25,25,999,n/a,Anthony McGill,Scotland,193500,193 500,-11000,-11 000
26.,0,,26,26,26,26,999,n/a,Matthew Selt,England,179500,179 500,-4000,-4 000
27.,1,+1,28,28,28,28,999,n/a,Stuart Bingham,England,175000,175 000,-3000,-3 000
28.,3,+3,31,31,31,31,999,n/a,Lyu Haotian,China,171000,171 000,0,
29.,0,,29,29,29,29,999,n/a,Pang Junxu,China,166500,166 500,-6000,-6 000
30.,2,+2,32,32,32,32,999,n/a,Joe O'Connor,England,163000,163 000,0,
31.,3,+3,34,34,34,34,999,n/a,Stephen Maguire,Scotland,160500,160 500,0,
32.,1,+1,33,33,33,33,999,n/a,David Gilbert,England,150500,150 500,-11000,-11 000
33.,2,+2,35,35,35,35,999,n/a,Thepchaiya Un-Nooh,Thailand,148500,148 500,-6000,-6 000
34.,3,+3,37,37,37,37,999,n/a,Xiao Guodong,China,142500,142 500,-4000,-4 000
35.,1,+1,36,36,36,36,999,n/a,Ricky Walden,England,139500,139 500,-14000,-14 000
36.,3,+3,39,39,39,39,999,n/a,Jordan Brown,Northern Ireland,134500,134 500,-6000,-6 000
37.,1,+1,38,38,38,38,999,n/a,Yuan Sijun,China,133000,133 000,-10000,-10 000
38.,2,+2,40,40,40,40,999,n/a,Cao Yupeng,China,130000,130 000,-6000,-6 000
39.,2,+2,41,41,41,41,999,n/a,Jamie Jones,Wales,129500,129 500,-6000,-6 000
40.,2,+2,42,42,42,42,999,n/a,Jak Jones,Wales,126000,126 000,-7000,-7 000
41.,2,+2,43,43,43,43,999,n/a,Wu Yize,China,119500,119 500,-4000,-4 000
42.,2,+2,44,44,44,44,999,n/a,Elliot Slessor,England,118000,118 000,-4000,-4 000
43.,5,+5,48,48,48,48,999,n/a,Dominic Dale,Wales,117500,117 500,0,
44.,5,+5,49,49,49,49,999,n/a,Sam Craigie,England,113000,113 000,0,
45.,0,,45,45,45,45,999,n/a,Jimmy Robertson,England,112500,112 500,-7500,-7 500
46.,5,+5,51,51,51,51,999,n/a,Robbie Williams,England,107500,107 500,-3000,-3 000
47.,0,,47,47,47,47,999,n/a,Matthew Stevens,Wales,107500,107 500,-10500,-10 500
48.,-21,-21,27,27,27,27,999,n/a,Joe Perry,England,106500,106 500,-74000,-74 000
49.,1,+1,50,50,50,50,999,n/a,Scott Donaldson,Scotland,103500,103 500,-7500,-7 500
50.,-4,-4,46,46,46,46,999,n/a,Graeme Dott,Scotland,98000,98 000,-21500,-21 500
51.,1,+1,52,52,52,52,999,n/a,Anthony Hamilton,England,96500,96 500,-6000,-6 000
52.,1,+1,53,53,53,53,999,n/a,Jackson Page,Wales,96000,96 000,-3000,-3 000
53.,1,+1,54,54,54,54,999,n/a,Jamie Clarke,Wales,92500,92 500,-6000,-6 000
54.,-24,-24,30,30,30,30,999,n/a,Fan Zhengyi,China,91500,91 500,-80000,-80 000
55.,0,,55,55,55,55,999,n/a,Oliver Lines,England,88500,88 500,0,
56.,0,,56,56,56,56,999,n/a,Tian Pengfei,China,87000,87 000,0,
57.,2,+2,59,59,59,59,999,n/a,David Grace,England,84000,84 000,0,
58.,-1,-1,57,57,57,57,999,n/a,Xu Si,China,83000,83 000,-3000,-3 000
59.,1,+1,60,60,60,60,999,n/a,Martin O'Donnell,England,79000,79 000,0,
60.,-2,-2,58,58,58,58,999,n/a,Ben Woollaston,England,78500,78 500,-7500,-7 500
61.,0,,61,61,61,61,999,n/a,Mark Davis,England,73000,73 000,-6000,-6 000
62.,1,+1,63,63,63,63,999,n/a,Michael White,Wales,70000,70 000,0,
63.,-1,-1,62,62,62,62,999,n/a,Mark Joyce,England,68500,68 500,-3000,-3 000
64.,1,+1,65,65,65,65,999,n/a,Aaron Hill,Ireland,65500,65 500,0,
65.,1,+1,66,66,66,66,999,n/a,Julien Leclercq[4],Belgium,65500,65 500,0,
66.,1,+1,67,67,67,67,999,n/a,Sanderson Lam[1],England,65000,65 000,0,
67.,-3,-3,64,64,64,64,999,n/a,Liam Highfield[16],England,61000,61 000,-7000,-7 000
68.,1,+1,69,69,69,69,999,n/a,Dylan Emery[3],Wales,58000,58 000,0,
69.,-1,-1,68,68,68,68,999,n/a,Andy Hicks[10],England,55500,55 500,-3000,-3 000
70.,1,+1,71,71,71,71,999,n/a,David Lilley[6],England,54000,54 000,0,
71.,1,+1,72,72,72,72,999,n/a,Zak Surety[2],England,53000,53 000,0,
72.,-2,-2,70,70,70,70,999,n/a,Martin Gould[15],England,52500,52 500,-4000,-4 000
73.,0,,73,73,73,73,999,n/a,Ben Mertens[5],Belgium,51500,51 500,0,
74.,0,,74,74,74,74,999,n/a,Ashley Hugill[13],England,49000,49 000,0,
75.,0,,75,75,75,75,999,n/a,James Cahill[7],England,48000,48 000,0,
76.,0,,76,76,76,76,999,n/a,He Guoqiang,China,44000,44 000,0,
77.,0,,77,77,77,77,999,n/a,Ken Doherty[8],Ireland,44000,44 000,0,
78.,0,,78,78,78,78,999,n/a,John Astley[23],England,43000,43 000,0,
79.,0,,79,79,79,79,999,n/a,Lukas Kleckers[9],Germany,41500,41 500,0,
80.,0,,80,80,80,80,999,n/a,Daniel Wells,Wales,41000,41 000,0,
81.,0,,81,81,81,81,999,n/a,Ashley Carty,England,37000,37 000,0,
82.,0,,82,82,82,82,999,n/a,Liu Hongyu,China,37000,37 000,0,
83.,0,,83,83,83,83,999,n/a,Marco Fu,Hong Kong,32000,32 000,0,
84.,0,,84,84,84,84,999,n/a,Allan Taylor[14],England,29000,29 000,0,
85.,0,,85,85,85,85,999,n/a,Rod Lawler[11],England,26500,26 500,0,
86.,0,,86,86,86,86,999,n/a,Ross Muir,Scotland,26000,26 000,0,
87.,0,,87,87,87,87,999,n/a,Xing Zihao,China,26000,26 000,0,
88.,0,,88,88,88,88,999,n/a,Hammad Miah,England,23500,23 500,0,
89.,0,,89,89,89,89,999,n/a,Peng Yisong[18],China,22000,22 000,0,
90.,0,,90,90,90,90,999,n/a,Sean O'Sullivan[31],England,22000,22 000,0,
91.,0,,91,91,91,91,999,n/a,Ian Burns,England,21000,21 000,0,
92.,0,,92,92,92,92,999,n/a,Ishpreet Singh Chadha,India,21000,21 000,0,
93.,0,,93,93,93,93,999,n/a,Andy Lee[35],Hong Kong,20500,20 500,0,
94.,0,,94,94,94,94,999,n/a,Liam Pullen,England,20000,20 000,0,
95.,0,,95,95,95,95,999,n/a,Oliver Brown[17],England,20000,20 000,0,
96.,0,,96,96,96,96,999,n/a,Muhammad Asif[24],Pakistan,20000,20 000,0,
97.,0,,97,97,97,97,999,n/a,Adam Duffy[20],England,19000,19 000,0,
98.,0,,98,98,98,98,999,n/a,Stuart Carrington,England,19000,19 000,0,
99.,0,,99,99,99,99,999,n/a,Andrew Higginson,England,18500,18 500,0,
100.,0,,100,100,100,100,999,n/a,Ma Hailong,China,18500,18 500,0,
101.,0,,101,101,101,101,999,n/a,Long Zehuang,China,17500,17 500,0,
102.,0,,102,102,102,102,999,n/a,Mark King(susp),England,17500,17 500,0,
103.,0,,103,103,103,103,999,n/a,Rory Thor,Malaysia,16000,16 000,0,
104.,0,,104,104,104,104,999,n/a,Alfie Burden,England,16000,16 000,0,
105.,0,,105,105,105,105,999,n/a,Stan Moody,England,15500,15 500,0,
106.,0,,106,106,106,106,999,n/a,Fergal O'Brien[19],Ireland,15500,15 500,0,
107.,0,,107,107,107,107,999,n/a,Andres Petrov[37],Estonia,15000,15 000,0,
108.,0,,108,108,108,108,999,n/a,Alexander Ursenbacher,Switzerland,14000,14 000,0,
